LeveragedSymbol,Symbol,Leverage,isMonthly
tqqq,^ndx,3,0
spxl,^gspc,3,0
need,xlp,3,0
want,xly,3,0
yinn,flch,3,0
pill,pjp,3,0
cure,xlv,3,0
nugt,gdx,3,0
midu,mdy,3,0
dfen,ita,3,0
nail,itb,3,0
jnug,gdxj,2,0
nugt,gdx,2,0
utsl,xli,3,0
upw,idu,2,0
rxl,iyh,2,0
uge,iyk,2,0
ucc,iyc,2,0
uym,iym,2,0
uyg,iyf,2,0
ujb,hyg,2,0
uxi,iyj,2,0
umdd,mdy,2,0
jpnl,ewj,3,0
eurl,vgk,3,0
ure,iyr,2,0
drn,vgsix,3,0
ugld,iau,3,0
uslv,slv,3,0
dxklx,ief,2,1
dxltx,tlt,1.35,1
dxqlx,^ndx,2,1
dxslx,^gspc,2,1
dxrlx,iwm,2,1
tmf,tlt,3,0
tyd,ief,3,0
tvix,^vix,2,0
labu,ibb,3,0
