#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corp,MSFT,11.666,174.60,-4.61,(-2.57%)
2,Apple Inc,AAPL,11.019,290.40,-3.40,(-1.16%)
3,Amazon.com Inc,AMZN,10.139,"2,271.00",-203.00,(-8.21%)
4,Facebook Inc,FB,4.028,202.79,-1.92,(-0.94%)
5,Alphabet Inc,GOOGL,3.977,"1,321.00",-25.70,(-1.91%)
6,Alphabet Inc,GOOG,3.972,"1,324.90",-23.76,(-1.76%)
7,Intel Corp,INTC,2.956,57.53,-2.45,(-4.08%)
8,PepsiCo Inc,PEP,2.044,130.07,-2.22,(-1.68%)
9,Cisco Systems Inc,CSCO,2.021,41.01,-1.37,(-3.23%)
10,NVIDIA Corp,NVDA,2.008,283.30,-8.98,(-3.07%)
11,Netflix Inc,NFLX,1.985,415.60,-4.25,(-1.01%)
12,Comcast Corp,CMCSA,1.947,37.35,-0.28,(-0.74%)
13,Adobe Inc,ADBE,1.858,343.62,-10.02,(-2.83%)
14,PayPal Holdings Inc,PYPL,1.595,121.80,-1.20,(-0.98%)
15,Tesla Inc,TSLA,1.586,707.01,-74.87,(-9.58%)
16,Amgen Inc,AMGN,1.54,231.60,-7.62,(-3.19%)
17,Costco Wholesale Corp,COST,1.492,301.92,-1.08,(-0.36%)
18,Texas Instruments Inc,TXN,1.227,110.30,-5.77,(-4.97%)
19,Broadcom Inc,AVGO,1.204,259.55,-12.07,(-4.44%)
20,Charter Communications Inc,CHTR,1.168,509.64,14.41,(2.91%)
21,Gilead Sciences Inc,GILD,1.156,81.75,-2.25,(-2.68%)
22,Starbucks Corp,SBUX,0.998,74.05,-2.68,(-3.49%)
23,QUALCOMM Inc,QCOM,0.991,75.77,-2.90,(-3.69%)
24,T-Mobile US Inc,TMUS,0.84,86.02,-1.78,(-2.03%)
25,Mondelez International Inc,MDLZ,0.808,51.00,-0.44,(-0.86%)
26,Fiserv Inc,FISV,0.783,100.50,-2.56,(-2.48%)
27,Intuit Inc,INTU,0.783,261.13,-8.68,(-3.22%)
28,Vertex Pharmaceuticals Inc,VRTX,0.71,254.90,3.70,(1.47%)
29,Booking Holdings Inc,BKNG,0.7,"1,453.11",-27.46,(-1.85%)
30,Automatic Data Processing Inc,ADP,0.694,141.06,-5.63,(-3.84%)
31,Intuitive Surgical Inc,ISRG,0.66,500.00,-10.88,(-2.13%)
32,Advanced Micro Devices Inc,AMD,0.657,50.12,-2.27,(-4.33%)
33,Regeneron Pharmaceuticals Inc,REGN,0.613,526.40,0.52,(0.10%)
34,Micron Technology Inc,MU,0.606,45.16,-2.73,(-5.70%)
35,Biogen Inc,BIIB,0.604,294.98,-1.85,(-0.62%)
36,CSX Corp,CSX,0.586,65.00,-1.23,(-1.86%)
37,Applied Materials Inc,AMAT,0.552,47.10,-2.58,(-5.19%)
38,Activision Blizzard Inc,ATVI,0.547,65.35,1.62,(2.54%)
39,Illumina Inc,ILMN,0.513,306.72,-12.31,(-3.86%)
